goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkV2MarshalSeriesData_GDP        	    4734	    240317 ns/op	 158.92 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    5349	    357868 ns/op	 106.72 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    3230	    319062 ns/op	 119.70 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    4438	    258792 ns/op	 147.58 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    4724	    238156 ns/op	 160.37 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    4783	    252372 ns/op	 151.33 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    5139	    244104 ns/op	 156.46 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    4980	    238863 ns/op	 159.89 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    5403	    233033 ns/op	 163.89 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_GDP        	    5491	    237068 ns/op	 161.10 MB/s	   40961 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1509	    701053 ns/op	 154.98 MB/s	  115034 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1651	    745808 ns/op	 145.68 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1720	    722636 ns/op	 150.35 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1750	    737287 ns/op	 147.36 MB/s	  114693 B/op	       1 allocs/op
BenchmarkV2MarshalSeriesData_CPIAUCSL   	    1584	    732273 ns/op	 148.37 MB/s	  114693 B/op	       1 allocs/op
